TEMP_C,PRESSURE_PA,PING_TIME_US
22.40,99256,10339
22.30,99252,10382
22.30,99256,10313
22.30,99257,10210
22.30,99249,10235
22.30,99257,10339
22.30,99252,10314
22.30,99256,10235
22.30,99256,10210
22.30,99252,10289
22.30,99250,10238
22.30,99254,10264
22.30,99251,10262
22.30,99250,10317
22.30,99253,10289
22.30,99252,10283
22.30,99255,10266
22.30,99255,10238
22.30,99248,10393
22.30,99252,10438
22.30,99254,10317
22.30,99254,10264
22.30,99251,10317
22.30,99248,10283
22.30,99256,10289
22.30,99251,10289
22.30,99252,10364
22.30,99246,10260
22.30,99255,10263
22.30,99261,10289
22.30,99250,10386
22.30,99248,10313
22.30,99251,10289
22.30,99253,10368
22.30,99252,10263
22.30,99255,10441
22.30,99249,10234
22.30,99252,10289
22.20,99248,10231
22.30,99250,10262
22.20,99248,10262
22.20,99251,10237
22.20,99252,10239
22.20,99254,10262
22.20,99253,10260
22.20,99255,10262
22.20,99256,10338
22.20,99255,10417
22.20,99263,10262
22.20,99258,10262
22.20,99254,10365
22.20,99253,10262
22.20,99260,10255
22.20,99249,10262
22.20,99257,10364
22.20,99254,10417
22.20,99255,10207
22.20,99255,10262
22.20,99258,10313
22.20,99257,10263
22.20,99255,10262
22.20,99259,10234
22.20,99255,10289
22.20,99260,10238
22.20,99261,10340
22.20,99259,10262
22.20,99258,10237
22.20,99260,10262
22.20,99257,10313
22.20,99263,10260
22.20,99264,10365
22.20,99261,10314
22.20,99253,10237
22.20,99254,10237
22.20,99260,10417
22.20,99255,10262
22.20,99263,10263
22.20,99257,10258
22.20,99268,10264
22.20,99254,10262
22.20,99260,10210
22.20,99256,10234
22.20,99260,10441
22.20,99261,10262
22.20,99260,10263
22.20,99257,10262
22.20,99256,10262
22.20,99258,10263
22.20,99258,10314
22.20,99266,10262
22.20,99262,10235
22.20,99257,10262
22.20,99257,10235
22.20,99257,10262
22.20,99262,10259
22.20,99260,10235
22.20,99264,10209
22.20,99262,10285
22.20,99261,10207
22.20,99258,10339
22.20,99253,10233
22.20,99260,10233
22.20,99259,10414
22.20,99265,10287
22.20,99260,10259
22.20,99252,10259
22.20,99255,10234
22.20,99261,10234
22.20,99256,10285
22.20,99263,10414
22.20,99263,10314
22.20,99258,10331
22.20,99266,10234
22.20,99261,10234
22.20,99261,10262
22.20,99262,10262
22.20,99262,10234
22.20,99260,10287
22.20,99260,10262
22.20,99260,10234
22.20,99261,10287
22.20,99264,10359
22.20,99259,10313
22.20,99264,10288
22.20,99261,10235
22.20,99260,10262
22.20,99263,10289
22.20,99269,10288
22.20,99262,10385
22.20,99264,10288
22.20,99262,10444
22.20,99266,10342
22.20,99270,10291
22.20,99267,10238
22.20,99262,10238
22.20,99270,10367
22.10,99261,10231
22.20,99272,10237
22.10,99266,10237
22.20,99272,10235
22.10,99266,10342
22.10,99265,10342
22.20,99268,10315
22.10,99266,10284
22.10,99266,10291
22.10,99265,10238
22.10,99264,10392
22.10,99265,10264
22.10,99264,10444
22.10,99270,10264
22.10,99269,10266
22.10,99265,10264
22.10,99266,10264
22.10,99266,10238
22.10,99266,10231
22.10,99269,10444
22.10,99262,10289
22.10,99265,10291
22.10,99262,10386
22.10,99262,10289
22.10,99266,10289
22.10,99266,10315
22.10,99268,10439
22.10,99265,10238
22.10,99266,10238
22.10,99267,10289
22.10,99269,10438
22.10,99265,10238
22.10,99267,10266
22.10,99270,10212
22.10,99265,10237
22.10,99265,10237
22.10,99262,10264
22.10,99262,10238
22.10,99269,10266
